tenure_type,income_quintile,n,mean_actual_excess,mean_predicted_excess,mean_actual_household_inflation
private_rent,5.0,175,2.700726027087199,0.6023795922058786,135.5435858949127
private_rent,1.0,270,2.081583786888736,-0.15350603835762122,134.96533933947433
private_rent,2.0,282,2.0614268601837784,0.037926922349548496,134.98357935017472
private_rent,3.0,241,2.0180965792011802,0.15184322632382413,134.93229754369997
private_rent,4.0,239,1.9039695953724445,0.40008983315392543,134.89103130954157
social_rent,1.0,528,1.4102764920374486,-0.49999301878746205,134.4059554530403
social_rent,3.0,173,1.201186296907896,0.12551246687614442,134.21048926457001
social_rent,4.0,60,1.144612410954913,0.11022584128285531,134.21387162399517
social_rent,2.0,339,0.9609781628458771,-0.2944070741465747,133.88235237156292
social_rent,5.0,15,-0.12416741057414708,0.18626664933432147,132.84608717331096
own_mortgage,1.0,616,-0.34693976485513683,-0.29103173115418496,132.57312287515649
own_mortgage,3.0,792,-0.7102799831736836,-0.006822676253326864,132.15485641046192
own_outright,3.0,545,-0.7355235189129402,0.22233725194899578,132.24221454838204
own_mortgage,4.0,762,-0.8955366101761278,0.04203233088816015,131.96547233167652
own_mortgage,2.0,765,-0.8964442089607152,-0.3985060748303803,132.07093079901168
own_mortgage,5.0,569,-0.9224660914555035,0.355402009796571,132.00087249987808
own_outright,5.0,854,-0.9455376420060365,0.4741515690668422,132.00576615150428
own_outright,1.0,184,-1.0366960306079531,-0.02126000302169328,131.72416247026467
own_outright,2.0,300,-1.0970932967279223,-0.07424116897279595,131.75795124453595
own_outright,4.0,712,-1.2809698626354602,0.3749211808466748,131.64071885716268
