feature,perm_importance_mean,perm_importance_std
share_12_misc_goods_services,0.11472153582895003,0.0017930232962269697
share_03_clothing_footwear,0.07776287355341234,0.0019891292884729192
share_05_furnishings,0.046316680484726015,0.0007749620762186604
share_02_alcohol_tobacco,0.033953600190743935,0.0022840234490000074
share_09_recreation_culture,0.02148786400101139,0.001224548765452898
share_11_restaurants_hotels,0.021223394851885936,0.0022529736507742367
share_08_communication,0.0011954079595419386,0.00019270986723423394
share_04_actual_rent,0.0006669145592465675,0.00020129501937076228
income_quintile_2.0,0.00029816674460221294,9.84602159692214e-05
hrp_age_band_under_30,0.0002675549602215277,4.302461486959732e-05
hrp_age_band_65_to_74,-8.835171565770849e-05,3.127349089615786e-05
hrp_age_band_75_plus,-0.00012002930069909823,0.000128766368153316
hrp_age_band_30_to_49,-0.0002183425548576423,7.58360498707457e-05
tenure_type_social_rent,-0.00023506431667188465,0.0001280515628203437
tenure_type_private_rent,-0.0002625344125708473,0.00013659301621672418
income_quintile_3.0,-0.00035335085208432204,4.3474055386070544e-05
income_quintile_4.0,-0.0004199243419741094,0.00011611236285613736
hrp_age,-0.00042371412485051605,0.0005351304400341424
income_quintile_5.0,-0.0007702945514338922,0.00017933992476049812
income_quintile_1.0,-0.0007975091400592938,7.787637472608395e-05
household_size,-0.0009174146556493845,0.00024804727836947384
hrp_age_band_50_to_64,-0.0009355826837308179,7.596433805858025e-05
tenure_type_own_outright,-0.0010384390405913102,0.00013617843933638182
share_06_health,-0.0014554863749528303,0.0002792994420759112
tenure_type_own_mortgage,-0.0021475609579871603,0.0001265678466852235
share_10_education,-0.0038617042510509236,0.0015863950762149699
income_equivalised,-0.010394166664128868,0.00048567403523139583
income_gross_weekly,-0.01145959120632476,0.0004776575652987155
share_04_housing_fuel_power,-0.015763599566555354,0.00016789256071026758
total_expenditure,-0.015970408918013313,0.00038485055663445213
share_04_energy_other,-0.017051708938338184,0.000694105813238648
share_01_food_non_alcoholic,-0.05294764650908448,0.0031374135409732227
share_07_transport,-0.05613380181348315,0.00563484719655543
