feature,rf_importance
share_07_transport,0.23743315724616174
share_01_food_non_alcoholic,0.1163647297752761
share_12_misc_goods_services,0.06703461460077303
share_11_restaurants_hotels,0.06000601029911775
share_03_clothing_footwear,0.05605075022952295
share_05_furnishings,0.04391395126711012
share_02_alcohol_tobacco,0.04266516709080052
share_04_housing_fuel_power,0.042011266961582625
share_09_recreation_culture,0.0405537177415181
total_expenditure,0.03992153809163315
share_04_energy_other,0.03601759893108773
income_equivalised,0.03051779848573467
share_10_education,0.030504303461432004
income_gross_weekly,0.02933449909739538
share_08_communication,0.027475218177099837
hrp_age,0.023722170219392352
share_06_health,0.01649530636937911
share_04_actual_rent,0.015463099190117732
household_size,0.00862707629585268
hrp_age_band_75_plus,0.0032302917230350703
hrp_age_band_50_to_64,0.003090743366583694
tenure_type_own_mortgage,0.0029602178937911798
tenure_type_own_outright,0.0029350560580032655
income_quintile_3.0,0.0028976335850011583
hrp_age_band_30_to_49,0.002833036634539246
income_quintile_5.0,0.0025620212875003255
tenure_type_private_rent,0.002489934656920037
income_quintile_1.0,0.0024787677451362255
income_quintile_4.0,0.002473698121999474
income_quintile_2.0,0.002405596457666015
hrp_age_band_65_to_74,0.0020546822498384567
tenure_type_social_rent,0.0018243538233715842
hrp_age_band_under_30,0.0016519928656266699
